Player,Price
Ambati Rayadu (R),2.20 crore
Monu Singh (R),20 lakhs
Murali Vijay (R),2 crore
Ruturaj Gaikwad (R),20 lakhs
Suresh Raina (R),11 crore
MS Dhoni (R),15 crore
Jagadeesan Narayan (R),20 lakhs
Asif K M (R),40 lakhs
Dwayne Bravo (R),6.40 crore
Faf du Plessis (R),1.60 crore
Karn Sharma (R),5 crore
Kedar Jadhav (R),7.80 crore
Ravindra jadeja (R),7 crore
Shane Watson (R),4 crore
Sam Curran,5.50 crore
Deepak Chahar (R),80 lakhs
Harbhajan Singh (R),2 crore
Imran Tahir (R),1 crore
Lungisani Ngidi (R),50 lakhs
Mitchell Santner (R),50 lakhs
Shardul Thakur (R),2.60 crore
Piyush Chawla,6.75 crore
Josh Hazlewood,2 crore
R. Sai Kishore,20 lakhs
Shreyas Iyer (R),7 crore
Ajinkya Rahane (R),5.25 crore
Keemo Paul (R),50 lakhs
Prithvi Shaw (R),1.20 crore
Shikhar Dhawan (R),5.20 crore
Shimron Heymyer,7.75 crore
Jason Roy,1.50 crore
Rishabh Pant (R),15 crore
Alex Carey,2.40 crore
Marcus Stoinis,4.80 crore
Lalit Yadav,20 lakhs
Chris Woakes,1.50 crore
Avesh Khan (R),70 lakhs
Ravichandran Ashwin (R),7.60 crore
Sandeep Lamichhane (R),20 lakhs
Axax Patel (R),5 crore
Harshal Patel (R),20 lakhs
Ishant Sharma (R),1.10 crore
Kagiso Rabada (R),4.20 crore
Mohit Sharma,50 lakhs
Tushar Deshpande,20 lakhs
Amit Mishra (R),4 crore
Karun Nair (R),5.60 crore
Arshdeep Singh (R),20 lakhs
Chris Gayle (R),2 crore
Darshan Nalkande (R),30 lakhs
Gowtham Krishnappa (R),6.20 crore
Hardus Viljoen (R),75 lakhs
Harpreet Brar (R),20 lakhs
Mayank Agarwal (R),1 crore
Nicholas Pooran (R),4.20 crore
Sarfaraz Khan (R),25 lakhs
Prabhsimran Singh,55 lakhs
KL Rahul (R),11 crore
Mandeep Singh (R),1.40 crore
Glenn Maxwell,10.75 crore
Chris Jordan,3 crore
Deepak Hooda,50 lakhs
James Neesham,50 lakhs
Tajinder Dhillon,20 lakhs
Ishan Porel,20 lakhs
Jagadeesha Suchith (R),20 lakhs
Mohammad Shami (R),4.80 crore
Ravi Bishnoi,2 crore
Sheldon Cottrell,8.50 crore
Murugan Ashwin (R),20 lakhs
Andre Russell (R),8.50 crore
Harry Gurney (R),75 lakhs
Kamlesh Nagarkoti (R),3.20 crore
Lockie Ferguson (R),1.60 crore
Nitish Rana (R),3.40 crore
Prasidh Krishna (R),20 lakhs
Rinku Singh (R),80 lakhs
Shubham Gill (R),1.80 crore
Siddhesh Lad (R),20 lakhs
Eoin Morgan,5.25 crore
Tom Banton,1 crore
Rahul Tripathi,60 lakhs
Dinesh Karthik (R),7.40 crore
Nikhil Shankar Naik,20 lakhs
Sunil Narine (R),12.50 crore
Pat Cummins,15.5 crore
Shivam Mavi (R),3 crore
Varun Chakaravarthy,4 crore
Chris Green,20 lakhs
Kuldeep Yadav (R),5.80 crore
Sandeep Warrier (R),20 lakhs
Pravin Tambe,20 lakhs
M Siddharth,20 lakhs
Riyan Parag (R),20 lakhs
Shashank Singh (R),30 lakhs
Steve Smith (R),12.50 crore
Robin Uthappa,3 crore
David Miller,75 lakhs
Manan Vohra (R),20 lakhs
Jos Butler (R),4.40 crore
Sanju Samson (R),8 crore
Anuj Rawat,80 lakhs
Ben Stokes (R),12.50 crore
Mahipal Lomror (R),20 lakhs
Shreyas Gopal (R),20 lakhs
Yashasvi Jaiswal,2.40 crore
Tom Curran,1 crore
Ankit Rajpoot (R),3 crore
Jofra Archer (R),7.20 crore
Mayank Markande (R),2 crore
Rahul Tewatia (R),3 crore
Varun Aaron (R),2.40 crore
Jaydev Unadkat,3 crore
Kartik Tyagi,1.30 crore
Andrew Tye,1 crore
Oshane Thomas,50 lakhs
Anirudha Ashok Joshi,20 lakhs
Akash Singh,20 lakhs
Rohit Sharma (R),15 crore
Anmolpreet Singh (R),80 lakhs
Ankul Roy (R),20 lakhs
Sherfane Rutherford (R),2 crore
Suryakumar Yadav (R),3.20 crore
Chris Lynn,2 crore
Saurabh Tiwary,50 lakhs
Aditya Tare (R),20 lakhs
Ishan Kishan (R),6.20 crore
Quinton de Kock (R),2.80 crore
Hardik Pandya (R),11 crore
Kieron Pollard (R),5.40 crore
Krunal Pandya (R),8.80 crore
Rahul Chahar (R),1.90 crore
Digvijay Deshmukh,20 lakhs
Prince Balwant Rai Singh,20 lakhs
Dhawal Kulkarni (R),75 lakhs
Jasprit Bumrah (R),7 crore
Jayant Yadav (R),50 lakhs
Lasith Malinga (R),2 crore
Mitchell McClenaghan (R),1 crore
Trent Boult (R),3.20 crore
Nathan Coulter-Nile,8 crore
Mohsin Khan,20 lakhs
Virat Kohli (R),17 crore
AB de Villiers (R),11 crore
Devdutt Padikkal (R),20 lakhs
Gurkeerat Singh (R),50 lakhs
Aaron Finch,4.40 crore
Shahbaz Ahamad,20 lakhs
Joshua Philippe,20 lakhs
Pathiv Patel (R),1.70 crore
Pawan Negi (R),1 crore
Shivam Dube (R),5 crore
Moeen Ali (R),1.70 crore
Isuru Udana,50 lakhs
Pavan Deshpande,20 lakhs
Christopher Morris,10 crore
Kane Richardson,4 crore
Dale Steyn,2 crore
Mohammaed Siraj (R),2.60 crore
Navdeep Saini (R),3 crore
Umesh Yadav (R),4.20 crore
Washington Sundar (R),3.20 crore
Yuzvendra Chahal (R),6 crore
Kane Williamson (R),3 crore
Abhishek Sharma (R),55 lakhs
David Warner (R),12.50 crore
Manish Pandey (R),11 crore
Priyam Garg,1.90 crore
Virat Singh,1.90 crore
Jonny Bairstow (R),2.20 crore
Shreevats Goswami (R),1 crore
Wridhhiman Saha (R),1.20 crore
Vijay Shankar (R),3.20 crore
Mitchell Marsh,2 crore
Mohammad Nabi (R),1 crore
Fabian Allen,50 lakhs
Sandeep Bavanaka,20 lakhs
Sanjay Yadav,20 lakhs
Abdul Samad,20 lakhs
Basil Thampi (R),95 lakhs
Bhuvneshwar Kumar (R),8.50 crore
Billy Stanlake (R),50 lakhs
Rashid Khan (R),9 crore
Sandeep Sharma (R),3 crore
Shahbaz Nadeem (R),3.20 crore
Siddarth Kaul (R),3.80 crore
Syed Khaleel Ahmed (R),3 crore
T Natarajan (R),40 lakhs
