Player, Pts, Mat, Wkts, Dots, 4s, 6s, Catches, Run outs, Stumpings
Harshal Patel,264.5,15,32,122,6,2,3,1,0
Ravindra Jadeja,263,16,13,104,19,9,13,2,0
Faf du Plessis,260.5,16,0,0,60,23,12,0,0
Ruturaj Gaikwad,255.5,16,0,0,64,23,6,0,0
KL Rahul,253.5,13,0,0,48,30,11,1,0
Avesh Khan,245,16,24,156,1,0,1,0,0
Glenn Maxwell,241.5,15,3,25,48,21,5,0,0
Shikhar Dhawan,236,16,0,0,63,16,9,0,0
Moeen Ali,232.5,15,6,50,31,19,7,0,0
Jasprit Bumrah,231.5,14,21,142,2,0,4,1,0
Rashid Khan,227.5,14,18,130,9,2,2,0,0
Kagiso Rabada,217,15,15,135,2,0,9,2,0
Sunil Narine,217,14,16,131,3,5,2,0,0
Shardul Thakur,216.5,16,21,137,0,0,2,1,0
Varun Chakaravarthy,216.5,17,18,149,0,0,1,2,0
Mohammad Shami,215,14,19,145,0,0,1,1,0
Prithvi Shaw,205.5,15,0,0,56,18,1,0,0
Sanju Samson,202.5,14,0,0,45,17,7,3,4
Mohammed Siraj,202.5,15,11,147,1,1,4,1,0
Yuzvendra Chahal,201,15,18,127,0,0,4,1,0
Trent Boult,196,14,13,138,0,0,5,0,0
Deepak Chahar,195.5,15,14,132,0,0,5,2,0
Venkatesh Iyer,184.5,10,3,14,37,14,7,1,0
Shubman Gill,182,17,0,0,50,12,6,0,0
Mayank Agarwal,180.5,12,0,0,42,18,5,0,0
Chris Morris,177,11,15,91,2,5,4,1,0
Chetan Sakariya,177,14,14,113,2,0,4,0,0
Rishabh Pant,176.5,16,0,0,42,10,10,4,3
Devdutt Padikkal,176.5,14,0,0,44,14,7,0,0
Axar Patel,171,12,15,99,2,1,4,1,0
Mustafizur Rahman,170,14,14,113,0,1,1,2,0
Andre Russell,166.5,10,11,39,14,14,2,0,0
Arshdeep Singh,163,12,18,88,0,0,4,2,0
Rahul Tripathi,162,17,0,0,41,11,8,1,0
Jason Holder,162,8,16,75,2,6,2,0,0
Virat Kohli,161,15,0,0,43,9,8,2,0
Nitish Rana,159.5,17,0,5,34,17,4,0,0
Kieron Pollard,155.5,14,5,26,16,16,6,1,0
Shivam Mavi,155,9,11,91,2,2,5,1,0
AB de Villiers,153,15,0,0,23,16,15,2,0
Prasidh Krishna,151.5,10,12,102,0,0,3,0,0
Dwayne Bravo,149.5,11,14,73,3,4,2,1,0
Rahul Chahar,148.5,11,13,93,1,0,3,0,0
Suryakumar Yadav,147.5,14,0,0,40,10,5,0,0
Krunal Pandya,147.5,13,5,68,10,6,6,1,0
Pat Cummins,137,7,9,60,5,8,2,0,0
Lockie Ferguson,137,8,13,76,1,1,3,2,0
Ravichandran Ashwin,135.5,13,7,95,2,1,3,0,0
Rohit Sharma,134,13,0,0,33,14,1,0,0
Sam Curran,134,9,9,76,5,3,1,1,0
Ravi Bishnoi,132,9,12,84,0,0,2,1,0
Bhuvneshwar Kumar,131.5,11,6,103,3,0,0,0,0
Rahul Tewatia,131.5,14,8,50,11,6,2,0,0
Kyle Jamieson,129.5,9,9,70,5,3,2,0,0
Anrich Nortje,128.5,8,12,84,0,0,1,0,0
Josh Hazlewood,128,9,11,87,0,0,1,0,0
Yashasvi Jaiswal,122.5,10,0,0,32,10,3,0,0
Jos Buttler,121.5,7,0,0,27,13,3,1,0
Quinton de Kock,112,11,0,0,29,7,4,0,2
Jonny Bairstow,111,7,0,0,20,15,2,1,1
Deepak Hooda,109.5,12,2,31,9,9,7,0,0
Ambati Rayudu,105.5,16,0,0,16,17,2,1,0
Dinesh Karthik,101,17,0,0,22,7,5,4,2
Shimron Hetmyer,100.5,14,0,0,19,12,4,1,0
Manish Pandey,100,8,0,0,21,10,5,0,0
Siddarth Kaul,99.5,8,7,70,1,0,1,0,0
Kane Williamson,98,10,0,0,29,2,7,1,0
Ishan Kishan,96,10,0,0,21,10,3,1,0
Harpreet Brar,93,7,5,56,3,2,2,0,0
Shivam Dube,92,9,0,7,18,10,2,0,0
Chris Gayle,88,10,0,0,21,8,3,0,0
Shakib Al Hasan,84.5,8,4,50,3,1,3,2,0
Jaydev Unadkat,83,6,4,52,3,2,1,0,0
Nathan Coulter-Nile,82.5,5,7,53,0,0,2,0,0
Suresh Raina,81.5,12,0,0,13,9,7,0,0
Abhishek Sharma,75.5,8,4,25,7,4,2,0,0
Khaleel Ahmed,74.5,7,5,56,0,0,0,1,0
MS Dhoni,74,16,0,0,12,3,13,1,0
Shahbaz Ahmed,72.5,11,7,21,4,2,4,0,0
Evin Lewis,69.5,5,0,0,18,7,0,0,0
Dan Christian,68,9,4,29,1,0,9,0,0
Shahrukh Khan,67.5,11,0,0,9,10,4,0,0
Sandeep Sharma,67.5,7,3,52,1,0,1,0,0
K.S Bharat,65.5,8,0,0,10,8,4,0,1
Lalit Yadav,65,7,4,21,7,0,5,0,0
Eoin Morgan,64.5,17,0,0,8,6,9,1,0
David Warner,64.5,8,0,0,15,6,2,1,0
Jayant Yadav,64.5,5,2,44,2,1,2,0,0
Jason Roy,63.5,5,0,0,21,1,3,0,0
Abdul Samad,62.5,11,1,1,4,8,8,0,0
Steve Smith,62,8,0,0,13,2,9,0,0
Aiden Markram,60.5,6,0,9,12,4,3,0,0
Marcus Stoinis,60,10,2,17,11,1,2,0,0
Hardik Pandya,57,12,0,0,11,5,4,2,0
Chris Woakes,56.5,3,5,33,2,0,0,1,0
Riyan Parag,56.5,11,1,7,6,4,6,2,0
Chris Jordan,54,4,4,27,1,3,0,0,0
Vijay Shankar,54,7,3,22,1,3,3,1,0
Kartik Tyagi,53.5,4,4,37,0,0,1,0,0
Washington Sundar,52.5,6,3,32,2,0,2,0,0
Riley Meredith,52,5,4,38,0,0,0,0,0
Moises Henriques,51,5,4,31,0,1,1,0,0
Shreyas Iyer,51,8,0,0,7,5,6,1,0
Wriddhiman Saha,50,9,0,0,7,5,6,0,0
Adam Milne,50,4,3,31,0,1,2,0,0
David Miller,49,9,0,0,11,3,4,1,0
Mohammad Nabi,47,3,2,13,3,2,5,0,0
Amit Mishra,46,4,6,25,0,0,0,0,0
Lungi Ngidi,45,3,5,25,0,0,1,0,0
George Garton,45,5,3,32,0,0,1,0,0
Mahipal Lomror,45,4,1,13,3,6,0,0,0
Jhye Richardson,42,3,3,24,2,0,1,0,0
Tim Southee,38.5,3,3,23,0,0,2,0,0
Jimmy Neesham,38.5,3,5,21,0,0,0,0,0
Umran Malik,38,3,2,31,0,0,0,0,0
Tom Curran,38,3,4,19,2,0,0,0,0
Robin Uthappa,37.5,4,0,0,8,5,0,0,0
Saurabh Tiwary,34.5,5,0,0,10,2,1,0,0
Nathan Ellis,34,3,1,27,0,1,0,0,0
Nicholas Pooran,32.5,12,0,0,3,5,3,0,0
Ishant Sharma,29.5,3,1,26,0,0,0,0,0
Fabian Allen,28.5,4,1,20,0,0,2,0,0
Chris Lynn,25.5,1,0,0,4,3,2,0,0
Murugan Ashwin,25,3,1,19,1,0,0,0,0
Marco Jansen,23.5,2,2,14,0,0,1,0,0
Jagadeesha Suchith,23,2,0,11,2,1,1,1,0
Imran Tahir,22,1,2,14,0,0,0,1,0
Harbhajan Singh,21.5,3,0,19,0,0,1,0,0
T Natarajan,21,2,2,14,0,0,0,0,0
Rajat Patidar,20.5,4,0,0,3,3,1,0,0
Manan Vohra,19.5,4,0,0,5,2,0,0,0
Glenn Phillips,19.5,3,1,4,1,2,1,0,0
Liam Livingstone,18.5,5,0,0,3,1,3,0,0
Daniel Sams,18.5,2,1,15,0,0,0,0,0
Kedar Jadhav,17,6,0,0,2,2,2,0,0
Mujeeb Ur Rahman,17,1,2,10,0,0,0,0,0
Priyam Garg,15.5,5,0,0,2,3,0,0,0
Shahbaz Nadeem,15,1,1,9,0,0,1,0,0
Shreyas Gopal,14.5,3,0,11,0,1,0,0,0
Ishan Porel,13.5,1,1,10,0,0,0,0,0
Ripal Patel,12.5,2,0,5,3,0,0,0,0
Wanindu Hasaranga,11,2,0,11,0,0,0,0,0
Kane Richardson,11,1,1,5,0,0,1,0,0
Lukman Meriwala,9.5,1,1,6,0,0,0,0,0
Dawid Malan,8.5,1,0,0,1,1,1,0,0
Anmolpreet Singh,8.5,1,0,0,2,1,0,0,0
Navdeep Saini,7.5,2,0,5,0,0,1,0,0
Mandeep Singh,7.5,1,0,0,2,0,1,0,0
Anuj Rawat,7.5,2,0,0,0,0,3,0,0
Virat Singh,7.5,3,0,0,1,0,2,0,0
